Province,Population:,Diploma:,GDP:,ma:
Hà Nội,8330834,26.4,8.12,1
TP Hồ Chí Minh,887086,50.3,8.95,79
Nghệ An,542217,34.9,7.01,40
Bắc Giang,323712,34.4,5.11,24
Vĩnh Phúc,801668,41.8,6.11,26
Hải Dương,761890,12.6,9.36,30
Quảng Ninh,625089,36.5,10.6,22
Bắc Ninh,478430,28.1,9.27,27
Bình Dương,1287718,19.6,8.77,74
Phú Thọ,842671,27.6,9.47,25
Nam Định,871724,21.5,9.52,36
Thái Bình,1323150,31.8,7.72,34
Hưng Yên,796939,20.6,7.64,33
Hoà Bình,1350851,25.6,10.26,17
Thái Nguyên,1875238,27.6,20.09,19
Lào Cai,1507539,21.6,8.61,10
Đắk Lắk,1191782,22.7,9.47,66
Thanh Hóa,1462945,22.9,6.79,38
Lạng Sơn,1936775,35.9,9.17,20
Sơn La,2072388,28.5,12.48,14
Cà Mau,1284552,32,13.67,96
Tuyên Quang,1875663,33.2,8.94,8
Tây Ninh,875216,18.1,10.76,72
Bình Định,1836268,23.8,7.81,52
Quảng Bình,1007570,18.5,8.8,44
Hà Giang,3716428,23.8,12.04,2
Hải Phòng,3409812,26.4,8.92,31
Khánh Hòa,1314056,25.3,2.54,56
Bình Phước,910655,30.8,7.38,77
Bà Rịa - Vũng Tàu,647790,27,7.22,75
Đồng Nai,1153795,25.3,8.56,26
Vĩnh Long,1195488,30.8,13.43,68
Ninh Bình,1518477,27,11.01,11
Đà Nẵng,1244132,29.8,8.92,35
Bến Tre,1508322,48.5,7.71,45
Cao Bằng,875535,34.4,7.23,92
Lâm Đồng,1248062,26.1,19.3,84
Điện Biên,596049,48.5,8.13,6
Hà Nam,1246306,27,7.76,12
Quảng Trị,568780,28,9.9,67
Cần Thơ,1569721,13,7.24,64
Trà Vinh,1908999,21.5,8.28,60
Bắc Kạn,664416,17.8,6.71,87
Lai Châu,1321839,21.1,11.01,42
Đắk Nông,1024285,22.3,10.73,49
Gia Lai,1181907,19,9.85,80
Bình Thuận,2596785,20.1,8.85,51
Đồng Tháp,3169103,25.5,8.37,95
Hà Tĩnh,1176079,24.5,5.76,46
Quảng Nam,9166840,24,9.26,54
Long An,1725752,30.5,8.31,89
Quảng Ngãi,1779416,25,6.75,91
Bạc Liêu,1295705,27,6.7,82
Thừa Thiên Huế,1018635,22,4.64,94
Phú Yên,1029015,18.5,13.67,62
An Giang,1601306,22.5,5.29,93
Kiên Giang,1909506,24,7.62,58
Tiền Giang,1752321,24,12.7,15
Sóc Trăng,1246993,19.5,13.56,
Kon Tum,729888,21.5,7.87,
Hậu Giang,1206819,22.5,10.01,
Ninh Thuận,918510,19,7.27,
Yên Bái,1208752,21.5,,