Province,Population,Diploma,GDP,ma,Confirm
Hà Nội,8330834,26.4,8.12,1,1597685
TP Hồ Chí Minh,887086,50.3,8.95,79,610867
Nghệ An,542217,34.9,7.01,40,484250
Bắc Giang,323712,34.4,5.11,24,387545
Vĩnh Phúc,801668,41.8,6.11,26,367572
Hải Dương,761890,12.6,9.36,30,362992
Quảng Ninh,625089,36.5,10.6,22,346114
Bắc Ninh,478430,28.1,9.27,27,343671
Bình Dương,1287718,19.6,8.77,74,320875
Phú Thọ,842671,27.6,9.47,25,320008
Nam Định,871724,21.5,9.52,36,295364
Thái Bình,1323150,31.8,7.72,34,292420
Hưng Yên,796939,20.6,7.64,33,239839
Hoà Bình,1350851,25.6,10.26,17,235873
Thái Nguyên,1875238,27.6,20.09,19,185031
Lào Cai,1507539,21.6,8.61,10,182704
Đắk Lắk,1191782,22.7,9.47,66,170585
Thanh Hóa,1462945,22.9,6.79,38,167387
Lạng Sơn,1936775,35.9,9.17,20,156674
Sơn La,2072388,28.5,12.48,14,150297
Cà Mau,1284552,32,13.67,96,145881
Tuyên Quang,1875663,33.2,8.94,8,142294
Tây Ninh,875216,18.1,10.76,72,137653
Bình Định,1836268,23.8,7.81,52,137028
Quảng Bình,1007570,18.5,8.8,44,123537
Hà Giang,3716428,23.8,12.04,2,121740
Hải Phòng,3409812,26.4,8.92,31,119740
Khánh Hòa,1314056,25.3,2.54,56,117761
Bình Phước,910655,30.8,7.38,70,117262
Bà Rịa - Vũng Tàu,647790,27,7.22,77,106840
Đồng Nai,1153795,25.3,8.56,75,106629
Vĩnh Long,1195488,30.8,13.43,86,101050
Ninh Bình,1518477,27,11.01,37,99226
Đà Nẵng,1244132,29.8,8.92,48,98225
Bến Tre,1508322,48.5,7.71,83,96597
Cao Bằng,875535,34.4,7.23,4,95178
Lâm Đồng,1248062,26.1,19.3,68,91826
Điện Biên,596049,48.5,8.13,11,88130
Hà Nam,1246306,27,7.76,35,84365
Quảng Trị,568780,28,9.9,45,81548
Cần Thơ,1569721,13,7.24,92,76393
Trà Vinh,1908999,21.5,8.28,84,74647
Bắc Kạn,664416,17.8,6.71,6,73934
Lai Châu,1321839,21.1,11.01,12,73731
Đắk Nông,1024285,22.3,10.73,67,72942
Gia Lai,1181907,19,9.85,64,69457
Bình Thuận,2596785,20.1,8.85,60,52466
Đồng Tháp,3169103,25.5,8.37,87,50585
Hà Tĩnh,1176079,24.5,5.76,42,50091
Quảng Nam,9166840,24,9.26,49,49217
Long An,1725752,30.5,8.31,80,48979
Quảng Ngãi,1779416,25,6.75,51,47483
Bạc Liêu,1295705,27,6.7,95,46432
Thừa Thiên Huế,1018635,22,4.64,46,46304
Phú Yên,1029015,18.5,13.67,54,42662
An Giang,1601306,22.5,5.29,89,41236
Kiên Giang,1909506,24,7.62,91,39789
Tiền Giang,1752321,24,12.7,82,36212
Sóc Trăng,1246993,19.5,13.56,94,34349
Kon Tum,729888,21.5,7.87,62,26139
Hậu Giang,1206819,22.5,10.01,93,17076
Ninh Thuận,918510,19,7.27,58,8639
Yên Bái,1208752,21.5,5.57,15,147369